word|partOfSpeech|chineseMeaning|synonyms|exampleSentence|source
mundane|adj.|平凡的|ordinary,routine,prosaic|The diary turns mundane errands into sharp observations about city life.|IELTS Glance original development dataset
obsolete|adj.|过时的|outdated,antiquated,defunct|Digital records made the old indexing system obsolete.|IELTS Glance original development dataset
obstinate|adj.|固执的|stubborn,inflexible,headstrong|An obstinate refusal to revise the plan caused avoidable delays.|IELTS Glance original development dataset
orthodox|adj.|正统传统的|conventional,traditional,accepted|Her interpretation challenges the orthodox account of the uprising.|IELTS Glance original development dataset
paradox|n.|悖论|contradiction,enigma,inconsistency|The policy created a paradox: greater access produced longer waits.|IELTS Glance original development dataset
partisan|adj.|党派性的；偏袒的|biased,factional,one-sided|The commission sought evidence beyond partisan talking points.|IELTS Glance original development dataset
plausible|adj.|貌似合理的|credible,believable,reasonable|The hypothesis is plausible but still lacks direct evidence.|IELTS Glance original development dataset
pragmatic|adj.|务实的|practical,realistic,expedient|They chose a pragmatic solution that could be implemented quickly.|IELTS Glance original development dataset
precarious|adj.|不稳定危险的|unstable,insecure,perilous|The climbers crossed the river on a precarious wooden bridge.|IELTS Glance original development dataset
precipitate|v.|促使；使突然发生|trigger,hasten,provoke|A sudden rate increase could precipitate a wider downturn.|IELTS Glance original development dataset
pretentious|adj.|自命不凡的|pompous,affected,ostentatious|The restaurant's pretentious menu described simple dishes in grand terms.|IELTS Glance original development dataset
prolific|adj.|多产的|productive,fertile,abundant|The prolific historian published more than thirty carefully researched books.|IELTS Glance original development dataset
reticent|adj.|沉默寡言的|reserved,taciturn,restrained|Normally reticent, she spoke at length about the failed policy.|IELTS Glance original development dataset
reverent|adj.|恭敬的|respectful,devout,solemn|The documentary is reverent without becoming uncritical.|IELTS Glance original development dataset
sanction|v.|批准；制裁|authorize,approve,penalize|The board must sanction any change to the research protocol.|IELTS Glance original development dataset
scant|adj.|不足的|meager,scarce,insufficient|The conclusion rests on scant evidence from a narrow sample.|IELTS Glance original development dataset
scrupulous|adj.|严谨正直的|meticulous,conscientious,principled|She was scrupulous about separating fact from speculation.|IELTS Glance original development dataset
sporadic|adj.|零星发生的|intermittent,occasional,irregular|Sporadic outages continued after the main repair.|IELTS Glance original development dataset
steadfast|adj.|坚定的|resolute,unwavering,constant|She remained steadfast in her support for independent review.|IELTS Glance original development dataset
substantiate|v.|证实|verify,corroborate,confirm|The author provides no records to substantiate the allegation.|IELTS Glance original development dataset
subtle|adj.|微妙的|nuanced,delicate,understated|A subtle shift in tone changes the final scene's meaning.|IELTS Glance original development dataset
succinct|adj.|简明的|concise,terse,pithy|Her succinct summary gave the board enough context to decide.|IELTS Glance original development dataset
superfluous|adj.|多余的|unnecessary,extraneous,redundant|The editor removed three superfluous paragraphs.|IELTS Glance original development dataset
tenacious|adj.|坚持不懈的|persistent,determined,dogged|Tenacious reporting eventually uncovered the missing contracts.|IELTS Glance original development dataset
undermine|v.|削弱|weaken,erode,sabotage|Secret exceptions undermine confidence in otherwise fair rules.|IELTS Glance original development dataset
venerate|v.|尊敬崇拜|revere,honor,esteem|Students venerate the poet but still debate her politics.|IELTS Glance original development dataset
viable|adj.|可行的|feasible,workable,practical|The pilot suggests that the approach is commercially viable.|IELTS Glance original development dataset
vigilant|adj.|警觉的|watchful,alert,attentive|Operators must remain vigilant during the entire test.|IELTS Glance original development dataset
vindicate|v.|证明正确；洗清|justify,exonerate,validate|Later evidence vindicated her decision to delay the launch.|IELTS Glance original development dataset
volatile|adj.|易变的；不稳定的|unstable,explosive,changeable|Prices remained volatile after the unexpected announcement.|IELTS Glance original development dataset
wary|adj.|谨慎警惕的|cautious,circumspect,guarded|Residents were wary of promises unsupported by a budget.|IELTS Glance original development dataset
