word|partOfSpeech|chineseMeaning|synonyms|exampleSentence|source
cursory|adj.|草率匆忙的|hasty,superficial,perfunctory|A cursory inspection failed to reveal the crack beneath the paint.|GRE Glance original development dataset
daunt|v.|使畏惧|intimidate,discourage,dismay|The scale of the archive did not daunt the patient researchers.|GRE Glance original development dataset
dearth|n.|缺乏|scarcity,shortage,paucity|A dearth of reliable witnesses complicated the investigation.|GRE Glance original development dataset
debacle|n.|惨败；崩溃|fiasco,disaster,failure|The rushed product launch became a costly public debacle.|GRE Glance original development dataset
debunk|v.|揭穿|disprove,expose,refute|The article debunks several myths about the city's early history.|GRE Glance original development dataset
decorous|adj.|得体端庄的|proper,dignified,seemly|The debate remained decorous despite sharp disagreements.|GRE Glance original development dataset
decorum|n.|礼仪；得体|propriety,etiquette,dignity|The chair restored decorum after the audience interrupted the speaker.|GRE Glance original development dataset
deference|n.|尊重；顺从|respect,submission,regard|Out of deference to local custom, visitors removed their shoes.|GRE Glance original development dataset
deferential|adj.|恭敬顺从的|respectful,submissive,obsequious|The junior analyst was polite but not excessively deferential.|GRE Glance original development dataset
delineate|v.|清楚描述；勾勒|outline,depict,define|The report carefully delineates the responsibilities of each agency.|GRE Glance original development dataset
demur|v.|表示异议；犹豫|object,protest,hesitate|No member demurred when the chair proposed an independent audit.|GRE Glance original development dataset
denigrate|v.|贬低；诋毁|disparage,belittle,defame|The essay critiques the theory without denigrating its early supporters.|GRE Glance original development dataset
deride|v.|嘲笑|mock,ridicule,scorn|Critics initially derided the compact design as impractical.|GRE Glance original development dataset
derivative|adj.|缺乏原创性的|imitative,unoriginal,secondhand|The novel's premise is derivative, though its characters feel vivid.|GRE Glance original development dataset
desiccate|v.|使干燥|dehydrate,dry,parch|Prolonged heat can desiccate the soil and damage young roots.|GRE Glance original development dataset
despondent|adj.|沮丧失望的|dejected,disheartened,gloomy|The team was despondent after months of work produced inconclusive results.|GRE Glance original development dataset
desultory|adj.|散漫不连贯的|aimless,disconnected,random|Their desultory conversation moved from politics to weather to music.|GRE Glance original development dataset
dexterous|adj.|灵巧熟练的|deft,adroit,skillful|The conservator made a dexterous repair to the fragile binding.|GRE Glance original development dataset
didactic|adj.|说教的；教学的|instructive,pedantic,moralizing|The film is informative without becoming overtly didactic.|GRE Glance original development dataset
diffident|adj.|缺乏自信的；羞怯的|shy,hesitant,retiring|A diffident speaker at first, she grew more assured during questions.|GRE Glance original development dataset
digression|n.|离题；偏离|aside,detour,tangent|A brief digression about maps enlivened the otherwise technical lecture.|GRE Glance original development dataset
dilettante|n.|浅尝辄止的爱好者|amateur,dabbler,nonexpert|He was no dilettante; decades of practice informed every judgment.|GRE Glance original development dataset
diatribe|n.|长篇抨击|tirade,harangue,denunciation|The editorial reads more like a diatribe than a balanced analysis.|GRE Glance original development dataset
disabuse|v.|纠正错误观念|correct,enlighten,undeceive|The guide quickly disabused us of the notion that the climb would be easy.|GRE Glance original development dataset
discern|v.|辨别；看出|detect,perceive,distinguish|Careful readers can discern a pattern beneath the apparent disorder.|GRE Glance original development dataset
discerning|adj.|有辨别力的|perceptive,judicious,astute|Discerning customers valued durability more than elaborate packaging.|GRE Glance original development dataset
discrepancy|n.|差异；不一致|inconsistency,divergence,mismatch|A discrepancy between the two ledgers triggered a wider audit.|GRE Glance original development dataset
discredit|v.|使失去信誉；证伪|disprove,undermine,debunk|One flawed experiment does not discredit the entire field.|GRE Glance original development dataset
disingenuous|adj.|不真诚的|insincere,deceptive,evasive|It was disingenuous to present a forced choice as a voluntary one.|GRE Glance original development dataset
disparate|adj.|截然不同的|dissimilar,divergent,distinct|The curator connected disparate objects through a common theme.|GRE Glance original development dataset
disseminate|v.|传播；散布|circulate,distribute,spread|The agency will disseminate the findings in several accessible formats.|GRE Glance original development dataset
dogmatic|adj.|武断教条的|doctrinaire,rigid,opinionated|A dogmatic attachment to one method can obscure better alternatives.|GRE Glance original development dataset
dubious|adj.|可疑的；不确定的|doubtful,questionable,suspect|The committee rejected a claim based on dubious statistics.|GRE Glance original development dataset
eclectic|adj.|兼收并蓄的；多样的|diverse,varied,broad-ranging|Her eclectic reading list includes poetry, physics, and urban history.|GRE Glance original development dataset
efface|v.|抹去；使不显眼|erase,obliterate,expunge|Time had effaced most of the inscription above the doorway.|GRE Glance original development dataset
efficacy|n.|功效|effectiveness,potency,success|A larger trial is needed to establish the treatment's efficacy.|GRE Glance original development dataset
effrontery|n.|厚颜无耻|audacity,impudence,insolence|He had the effrontery to demand praise for work he had obstructed.|GRE Glance original development dataset
egalitarian|adj.|平等主义的|equalitarian,democratic,leveling|The cooperative adopted an egalitarian pay structure.|GRE Glance original development dataset
egregious|adj.|极坏的；令人震惊的|flagrant,outrageous,grievous|The audit uncovered an egregious failure to protect confidential data.|GRE Glance original development dataset
elicit|v.|引出；诱发|evoke,draw out,extract|Open questions often elicit more informative answers.|GRE Glance original development dataset
eloquent|adj.|雄辩有感染力的|expressive,persuasive,articulate|Her eloquent defense of the library changed several votes.|GRE Glance original development dataset
elusive|adj.|难以捉摸的|evasive,slippery,hard-to-find|A simple explanation for the anomaly remained elusive.|GRE Glance original development dataset
embolden|v.|使有勇气|encourage,fortify,inspire|Early support emboldened the group to propose a broader reform.|GRE Glance original development dataset
empirical|adj.|以观察实验为依据的|observational,evidence-based,experimental|The theory gained credibility after receiving strong empirical support.|GRE Glance original development dataset
emulate|v.|效仿；努力赶上|imitate,match,rival|Several cities hope to emulate the program's early success.|GRE Glance original development dataset
enervate|v.|使衰弱|weaken,debilitate,exhaust|Weeks of uncertainty began to enervate even the most patient negotiators.|GRE Glance original development dataset
engender|v.|产生；引起|cause,generate,provoke|Opaque rules tend to engender suspicion rather than trust.|GRE Glance original development dataset
enigmatic|adj.|神秘难懂的|mysterious,cryptic,inscrutable|The painting's enigmatic expression invites conflicting interpretations.|GRE Glance original development dataset
entrench|v.|使根深蒂固|establish,embed,fortify|Poor incentives can entrench habits that everyone claims to oppose.|GRE Glance original development dataset
enumerate|v.|列举|list,itemize,recount|The appendix enumerates every assumption used in the model.|GRE Glance original development dataset
ephemeral|adj.|短暂的|transient,fleeting,momentary|Online attention can be intense but ephemeral.|GRE Glance original development dataset
equanimity|n.|沉着镇定|composure,poise,serenity|She received both praise and criticism with equanimity.|GRE Glance original development dataset
equivocal|adj.|模棱两可的|ambiguous,evasive,uncertain|His equivocal answer left both sides claiming victory.|GRE Glance original development dataset
erudite|adj.|博学的|learned,scholarly,knowledgeable|The erudite essay remains accessible to readers outside the field.|GRE Glance original development dataset
esoteric|adj.|只有少数人懂的|arcane,abstruse,obscure|The course makes an esoteric subject approachable through concrete examples.|GRE Glance original development dataset
eulogy|n.|颂词；悼词|tribute,panegyric,commendation|Her eulogy celebrated ordinary acts of kindness rather than public honors.|GRE Glance original development dataset
evade|v.|逃避；回避|avoid,elude,dodge|The spokesperson tried to evade the central question.|GRE Glance original development dataset
evocative|adj.|引起联想的|suggestive,expressive,poignant|The novel's evocative opening captures the smell of rain on dry soil.|GRE Glance original development dataset
exacerbate|v.|使恶化|worsen,aggravate,intensify|Delaying repairs will only exacerbate the damage.|GRE Glance original development dataset
exacting|adj.|要求严格的|demanding,rigorous,stringent|The laboratory follows an exacting procedure for every measurement.|GRE Glance original development dataset
exasperate|v.|激怒；使恼火|irritate,infuriate,frustrate|Repeated delays began to exasperate commuters.|GRE Glance original development dataset
exculpate|v.|证明无罪|absolve,clear,acquit|The newly discovered records may exculpate the accused official.|GRE Glance original development dataset
exemplary|adj.|典范的|model,commendable,outstanding|Her exemplary notes allowed another team to reproduce the experiment.|GRE Glance original development dataset
exhaustive|adj.|详尽无遗的|comprehensive,thorough,complete|The review is extensive but does not claim to be exhaustive.|GRE Glance original development dataset
exonerate|v.|免除罪责|acquit,absolve,vindicate|Security footage helped exonerate the employee.|GRE Glance original development dataset
expedient|adj.|权宜的；便利的|convenient,pragmatic,advantageous|The expedient solution reduced costs but created a larger problem later.|GRE Glance original development dataset
extemporaneous|adj.|即席的|impromptu,unscripted,spontaneous|Her extemporaneous remarks were warmer than the prepared speech.|GRE Glance original development dataset
extol|v.|赞颂|praise,laud,celebrate|The article extols the design's simplicity without ignoring its limits.|GRE Glance original development dataset
extraneous|adj.|无关的；多余的|irrelevant,superfluous,incidental|Removing extraneous details made the argument easier to assess.|GRE Glance original development dataset
facetious|adj.|轻佻开玩笑的|flippant,frivolous,waggish|His facetious reply was poorly suited to a serious safety review.|GRE Glance original development dataset
fallacious|adj.|谬误的|false,unsound,misleading|The conclusion rests on a fallacious comparison between unlike cases.|GRE Glance original development dataset
fastidious|adj.|一丝不苟的；挑剔的|meticulous,exacting,scrupulous|A fastidious editor checked every date against the original records.|GRE Glance original development dataset
fawn|v.|谄媚讨好|flatter,grovel,toady|The adviser refused to fawn over powerful donors.|GRE Glance original development dataset
feasible|adj.|可行的|practical,workable,viable|Engineers confirmed that the repair was feasible within the existing budget.|GRE Glance original development dataset
feckless|adj.|无能且不负责任的|ineffectual,irresponsible,incompetent|Feckless management turned a minor delay into a prolonged crisis.|GRE Glance original development dataset
felicitous|adj.|恰当巧妙的|apt,well-chosen,appropriate|A felicitous phrase captured the complicated idea in a few words.|GRE Glance original development dataset
fervent|adj.|热烈的|passionate,ardent,zealous|She remained a fervent advocate for open access to research.|GRE Glance original development dataset
fickle|adj.|反复无常的|capricious,changeable,inconstant|The fashion industry is notoriously fickle.|GRE Glance original development dataset
flagrant|adj.|明目张胆的；恶劣的|glaring,egregious,blatant|The inquiry documented a flagrant breach of safety rules.|GRE Glance original development dataset
florid|adj.|过分华丽的|ornate,flowery,embellished|The florid introduction obscured an otherwise practical proposal.|GRE Glance original development dataset
fluctuate|v.|波动|vary,oscillate,shift|Demand tends to fluctuate with the season.|GRE Glance original development dataset
foment|v.|煽动；助长|incite,instigate,stir|False rumors helped foment distrust between the two communities.|GRE Glance original development dataset
fortuitous|adj.|偶然幸运的|accidental,serendipitous,chance|A fortuitous meeting led to a productive research partnership.|GRE Glance original development dataset
frugal|adj.|节俭的|thrifty,economical,sparing|Their frugal design used standard parts that were easy to replace.|GRE Glance original development dataset
gainsay|v.|否认；反驳|deny,contradict,dispute|No one could gainsay the need for safer equipment.|GRE Glance original development dataset
galvanize|v.|激励；促使行动|motivate,rouse,energize|The accident galvanized officials into revising the outdated code.|GRE Glance original development dataset
garrulous|adj.|喋喋不休的|talkative,loquacious,verbose|The garrulous guide filled the long journey with local stories.|GRE Glance original development dataset
germane|adj.|密切相关的|relevant,pertinent,applicable|The judge excluded details that were not germane to the case.|GRE Glance original development dataset
glib|adj.|油滑肤浅的|slick,facile,superficial|A glib slogan cannot resolve a complex housing shortage.|GRE Glance original development dataset
gratuitous|adj.|无缘无故的；多余的|unwarranted,needless,unprovoked|The adaptation avoids the gratuitous violence of many similar films.|GRE Glance original development dataset
gregarious|adj.|合群的|sociable,outgoing,companionable|A gregarious colleague introduced the new researcher to everyone.|GRE Glance original development dataset
guile|n.|狡诈|cunning,deceit,duplicity|She negotiated firmly but without guile.|GRE Glance original development dataset
hackneyed|adj.|陈词滥调的|trite,banal,overused|The campaign relied on hackneyed images of progress.|GRE Glance original development dataset
haughty|adj.|傲慢的|arrogant,supercilious,proud|His haughty dismissal of the complaint angered residents.|GRE Glance original development dataset
hegemony|n.|霸权；主导地位|dominance,ascendancy,supremacy|The essay examines how one firm gained hegemony over the market.|GRE Glance original development dataset
homogeneous|adj.|同质的|uniform,consistent,undifferentiated|The sample was too homogeneous to support broad conclusions.|GRE Glance original development dataset
hyperbole|n.|夸张说法|exaggeration,overstatement,embellishment|Claims that the device would transform every industry were pure hyperbole.|GRE Glance original development dataset
iconoclast|n.|反传统者|nonconformist,dissenter,rebel|The celebrated iconoclast questioned assumptions others treated as settled.|GRE Glance original development dataset
idiosyncratic|adj.|独特古怪的|peculiar,distinctive,eccentric|Her idiosyncratic filing system was efficient only for her.|GRE Glance original development dataset
immutable|adj.|不可改变的|unchangeable,fixed,permanent|The rules are not immutable and should evolve with new evidence.|GRE Glance original development dataset
impartial|adj.|公正的|unbiased,neutral,evenhanded|An impartial panel reviewed the competing claims.|GRE Glance original development dataset
impassive|adj.|不露情感的|stoic,expressionless,unmoved|The witness remained impassive throughout the hostile questioning.|GRE Glance original development dataset
impeccable|adj.|无可挑剔的|flawless,exemplary,immaculate|The argument was supported by impeccable documentation.|GRE Glance original development dataset
impetuous|adj.|冲动的|rash,hasty,impulsive|An impetuous decision left the team without a backup plan.|GRE Glance original development dataset
impertinent|adj.|无礼的；不相关的|insolent,irrelevant,impudent|The chair dismissed the personal question as impertinent.|GRE Glance original development dataset
implacable|adj.|无法平息的|unyielding,inexorable,relentless|The two leaders remained implacable opponents of the compromise.|GRE Glance original development dataset
implicit|adj.|含蓄的；隐含的|implied,unspoken,inherent|The agreement contained an implicit promise of continued support.|GRE Glance original development dataset
impugn|v.|质疑；抨击|challenge,dispute,question|Disagreement alone does not impugn a researcher's integrity.|GRE Glance original development dataset
inadvertent|adj.|无意的|accidental,unintentional,unwitting|An inadvertent omission changed the meaning of the final paragraph.|GRE Glance original development dataset
inchoate|adj.|初步未成形的|nascent,undeveloped,embryonic|The movement began as an inchoate collection of local concerns.|GRE Glance original development dataset
incisive|adj.|深刻敏锐的|penetrating,acute,sharp|Her incisive questions exposed a weakness in the proposal.|GRE Glance original development dataset
incongruous|adj.|不协调的|incompatible,inconsistent,jarring|The modern sign looked incongruous beside the ancient gate.|GRE Glance original development dataset
incumbent|adj.|职责所在的；现任的|obligatory,binding,current|It is incumbent on researchers to disclose relevant conflicts.|GRE Glance original development dataset
indifference|n.|冷漠|apathy,detachment,unconcern|Official indifference allowed the problem to persist for years.|GRE Glance original development dataset
indolent|adj.|懒惰的|lazy,idle,slothful|The novel's indolent hero avoids every demand on his time.|GRE Glance original development dataset
ineffable|adj.|难以言表的|indescribable,inexpressible,unspeakable|The music conveyed an ineffable sense of loss.|GRE Glance original development dataset
ingenuous|adj.|坦率天真的|guileless,innocent,candid|Her ingenuous question revealed an assumption the experts had missed.|GRE Glance original development dataset
inimical|adj.|有害的；敌对的|hostile,harmful,adverse|Chronic uncertainty is inimical to long-term investment.|GRE Glance original development dataset
innocuous|adj.|无害的|harmless,benign,inoffensive|The innocuous-looking attachment contained malicious code.|GRE Glance original development dataset
inscrutable|adj.|难以理解的|enigmatic,mysterious,unfathomable|The committee's selection criteria remained inscrutable.|GRE Glance original development dataset
insipid|adj.|乏味的；无味的|bland,dull,vapid|The adaptation turned a lively satire into an insipid romance.|GRE Glance original development dataset
intrepid|adj.|无畏的|fearless,bold,dauntless|Intrepid volunteers carried supplies across the flooded valley.|GRE Glance original development dataset
intransigent|adj.|不妥协的|unyielding,obstinate,implacable|Both sides adopted intransigent positions before negotiations began.|GRE Glance original development dataset
inundate|v.|淹没；使应接不暇|flood,overwhelm,deluge|The office was inundated with requests after the announcement.|GRE Glance original development dataset
irascible|adj.|易怒的|irritable,hot-tempered,choleric|The irascible director was known for shouting over minor errors.|GRE Glance original development dataset
judicious|adj.|明智审慎的|wise,prudent,discerning|Judicious editing preserved the report's detail while improving its pace.|GRE Glance original development dataset
laconic|adj.|言简意赅的|terse,concise,brief|His laconic reply ended the speculation.|GRE Glance original development dataset
laud|v.|赞扬|praise,extol,commend|Reviewers lauded the book for making complex ideas accessible.|GRE Glance original development dataset
lethargic|adj.|无精打采的|sluggish,listless,torpid|The market remained lethargic throughout the winter.|GRE Glance original development dataset
loquacious|adj.|健谈的|talkative,garrulous,verbose|The loquacious professor often continued well past the scheduled hour.|GRE Glance original development dataset
lucid|adj.|清晰易懂的|clear,coherent,intelligible|The essay offers a lucid account of a difficult theory.|GRE Glance original development dataset
magnanimous|adj.|宽宏大量的|generous,noble,forgiving|The winner was magnanimous and praised her rival's campaign.|GRE Glance original development dataset
malleable|adj.|可塑的；易受影响的|pliable,flexible,adaptable|The alloy is malleable enough to form without cracking.|GRE Glance original development dataset
mendacious|adj.|虚假的；撒谎的|dishonest,deceitful,untruthful|The investigation exposed a mendacious account of the transaction.|GRE Glance original development dataset
mercurial|adj.|多变的|volatile,changeable,capricious|The mercurial artist abandoned projects as quickly as she began them.|GRE Glance original development dataset
